X1,lastName,firstName,Date,Period,School,Sport,proportion_male,proportion_female,gender
19,Adam,Joshua,2018-2019,Jul 2017 -  ,University of Southern California ,Women's Rowing ,0.9956,0.0044,male
20,Adams,Brad,2018-2019,Aug 2007 -  ,Villanova University ,Men's Tennis ,0.997,0.003,male
21,Adams,Carissa,2018-2019,Oct 2015 -  ,Villanova University ,Women's Rowing ,0.0004,0.9996,female
22,Adams,Christy,2018-2019,Feb 2008 -  ,Middle Tennessee State University ,Women's Golf ,0.0128,0.9872,female
23,Adams,Jen,2018-2019,Aug 2008 -  ,Loyola University Maryland ,Women's Lacrosse ,0.1575,0.8425,female
24,Adams,Jocelyn,2018-2019,Jul 2011 - Aug 2020 ,Texas Southern University ,Women's Volleyball ,0.0036,0.9964,female
25,Adams,Keitha,2018-2019,May 2017 -  ,Wichita State University ,Women's Basketball ,0,1,female
26,Adams,Nicky,2018-2019,Oct 2010 - Apr 2019 ,Rice University ,Women's Soccer ,0.7903,0.2097,male
27,Adams,Ryan,2018-2019,Apr 2019 -  ,Lafayette College ,Women's Volleyball ,0.9768,0.0232,male
28,Adcock,Gary,2018-2019,Jul 2011 -  ,California Baptist University ,Baseball ,0.9962,0.0038,male
29,Addazio,Steve,2018-2019,Jan 2013 - Jan 2020 ,Boston College ,Football ,0.9961,0.0039,male
30,Addison,Thomas,2018-2019,Sep 2003 -  ,Presbyterian College ,Men's Golf ,0.9964,0.0036,male
31,Adell,Brittany,2018-2019,Sep 2017 - May 2019 ,Colgate University ,Women's Rowing ,0.0029,0.9971,female
32,Adix-Zins,Tracie,2018-2019,Aug 2018 -  ,DePaul University ,Softball ,0.0063,0.9937,female
33,Aganus,Ari,2018-2019,Feb 2019 -  ,Marshall University ,Women's Volleyball ,0.8456,0.1544,male
34,Agnew,J.,2018-2019,Sep 2018 -  ,Ball State University ,Men's Swimming and Diving ,NA,NA,male
35,Agnew,J.,2018-2019,Sep 2018 -  ,Ball State University ,Women's Swimming and Diving ,NA,NA,male
36,Aguglia,Jessie,2018-2019,Jun 2019 -  ,Gardner-Webb University ,Women's Lacrosse ,0.4993,0.5007,female
37,Agugua-Hamilton,Amaka,2018-2019,May 2019 -  ,Missouri State University ,Women's Basketball ,0,1,female
38,Ah Mow,Robyn,2018-2019,Mar 2017 -  ,"University of Hawaii, Manoa ",Women's Volleyball ,0.0177,0.9823,female
39,Aid,Jamie,2018-2019,Sep 2013 -  ,Lipscomb University ,Women's Tennis ,0.2295,0.7705,female
40,Aird,Steve,2018-2019,Feb 2018 -  ,"Indiana University, Bloomington ",Women's Volleyball ,0.9961,0.0039,male
41,Akbar,Babar,2018-2019,Oct 2016 -  ,University of Idaho ,Women's Tennis ,NA,NA,male
42,Akbar,Mohammad,2018-2019,Aug 2018 - Nov 2018 ,University of Idaho ,Men's Tennis ,0.999,0.001,male
43,Akers,Mike,2018-2019,Jun 2016 -  ,University of North Texas ,Women's Golf ,0.9966,0.0034,male
44,Alameda,Lonni,2018-2019,Sep 2008 -  ,Florida State University ,Softball ,0.0449,0.9551,female
45,Albaugh,Dave,2018-2019,Jun 2016 - Apr 2019 ,Norfolk State University ,Women's Volleyball ,0.9985,0.0015,male
46,Albaugh,Jay,2018-2019,Aug 2003 -  ,William & Mary ,Men's Golf ,0.9875,0.0125,male
47,Albaugh,Jay,2018-2019,Aug 2003 -  ,William & Mary ,Women's Golf ,0.9875,0.0125,male
48,Alberici,Joe,2018-2019,Sep 2005 -  ,U.S. Military Academy ,Men's Lacrosse ,0.9745,0.0255,male
49,Albertsen,Adam,2018-2019,Aug 2018 -  ,Southern Illinois University Edwardsville ,Women's Tennis ,0.9959,0.0041,male
50,Albiero,Arthur,2018-2019,Sep 2003 -  ,University of Louisville ,Women's Swimming and Diving ,0.9937,0.0063,male
51,Albiero,Arthur,2018-2019,Sep 2003 -  ,University of Louisville ,Men's Swimming and Diving ,0.9937,0.0063,male
52,Albrecht,Sarah,2018-2019,Sep 2012 -  ,University of New Hampshire ,Women's Lacrosse ,0.0029,0.9971,female
53,Alder,Jeff,2018-2019,Aug 2003 - Feb 2019 ,Liberty University ,Men's Soccer ,0.9977,0.0023,male
54,Aldrich,Griff,2018-2019,May 2018 -  ,Longwood University ,Men's Basketball ,1,0,male
55,Alexander,Casey,2018-2019,May 2019 -  ,Belmont University ,Men's Basketball ,0.575,0.425,male
56,Alexander,Casey,2018-2019,Jun 2013 - May 2019 ,Lipscomb University ,Men's Basketball ,0.575,0.425,male
57,Alexander,Dewayne,2018-2019,Feb 2018 -  ,Tennessee Technological University ,Football ,0.9952,0.0048,male
58,Alexander-Pompey,Nadia,2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,Women's Cross Country ,0.0016,0.9984,female
59,Alexander-Pompey,Nadia,2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,Men's Cross Country ,0.0016,0.9984,female
60,Alexander-Pompey,Nadia,2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,"Women's Track, Indoor ",0.0016,0.9984,female
61,Alexander-Pompey,Nadia,2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,"Men's Track, Indoor ",0.0016,0.9984,female
62,Alexander-Pompey,Nadia,2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,"Women's Track, Outdoor ",0.0016,0.9984,female
63,Alexander-Pompey,Nadia,2018-2019,Aug 2018 - Jan 2020 ,Mississippi Valley State University ,"Men's Track, Outdoor ",0.0016,0.9984,female
64,Alfonso,Egetta,2018-2019,Aug 1998 -  ,College of the Holy Cross ,"Women's Track, Outdoor ",NA,NA,female
65,Alfonso,Egetta,2018-2019,Aug 1998 -  ,College of the Holy Cross ,"Women's Track, Indoor ",NA,NA,female
66,Alford,Steve,2018-2019,May 2013 - Feb 2019 ,"University of California, Los Angeles ",Men's Basketball ,0.9961,0.0039,male
67,Alford,Steve,2018-2019,May 2019 -  ,"University of Nevada, Reno ",Men's Basketball ,0.9961,0.0039,male
68,Alford-Sullivan,Beth,2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ",Women's Cross Country ,0.002,0.998,female
69,Alford-Sullivan,Beth,2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ","Men's Track, Indoor ",0.002,0.998,female
70,Alford-Sullivan,Beth,2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ","Women's Track, Indoor ",0.002,0.998,female
71,Alford-Sullivan,Beth,2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ","Men's Track, Outdoor ",0.002,0.998,female
72,Alford-Sullivan,Beth,2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ",Men's Cross Country ,0.002,0.998,female
73,Alford-Sullivan,Beth,2018-2019,Jul 2014 -  ,"University of Tennessee, Knoxville ","Women's Track, Outdoor ",0.002,0.998,female
74,Allain,Keith,2018-2019,Aug 2006 -  ,Yale University ,Men's Ice Hockey ,0.9948,0.0052,male
75,Allard,Jenny,2018-2019,Aug 2003 -  ,Harvard University ,Softball ,0.0062,0.9938,female
76,Allen,Ed,2018-2019,Aug 2011 - Feb 2019 ,University of Alabama ,Women's Volleyball ,0.9995,0.0005,male
77,Allen,Ed,2018-2019,Feb 2019 -  ,Southern Illinois University at Carbondale ,Women's Volleyball ,0.9995,0.0005,male
78,Allen,Greg,2018-2019,Aug 2007 -  ,Vanderbilt University ,Women's Golf ,0.998,0.002,male
79,Allen,Jimmy,2018-2019,May 2016 -  ,U.S. Military Academy ,Men's Basketball ,0.9928,0.0072,male
80,Allen,Julie,2018-2019,Nov 2018 - Jan 2020 ,Eastern Illinois University ,Women's Volleyball ,0.0027,0.9973,female
81,Allen,RuthAnn,2018-2019,Aug 2019 -  ,Weber State University ,Women's Tennis ,0,1,female
82,Allen,Spencer,2018-2019,Jul 2015 -  ,Northwestern University ,Baseball ,0.9738,0.0262,male
83,Allen,Stephanie,2018-2019,Sep 2013 -  ,Binghamton University ,Women's Lacrosse ,0.0034,0.9966,female
84,Allen,Tom,2018-2019,Jan 2017 -  ,"Indiana University, Bloomington ",Football ,0.9969,0.0031,male
85,Allison,Anna,2018-2019,Apr 2013 - Mar 2020 ,Bucknell University ,Women's Volleyball ,0.0029,0.9971,female
86,Allison,Doug,2018-2019,Jul 1995 -  ,Furman University ,Men's Soccer ,0.9998,0.0002,male
87,Allister,Jessica,2018-2019,Aug 2017 -  ,Stanford University ,Softball ,0.0032,0.9968,female
88,Allman,Lindsay,2018-2019,Sep 2016 -  ,Indiana State University ,Women's Volleyball ,0.029,0.971,female
89,Almoney,Kyle,2018-2019,Oct 2018 - Mar 2019 ,Saint Francis University (Pennsylvania) ,Women's Swimming and Diving ,0.9813,0.0187,male
90,Almquist,Zoe,2018-2019,Apr 2019 -  ,Davidson College ,Field Hockey ,0.004,0.996,female
91,Alonso,Al,2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,"Women's Track, Outdoor ",0.9868,0.0132,male
92,Alonso,Al,2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,"Men's Track, Indoor ",0.9868,0.0132,male
93,Alonso,Al,2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,"Men's Track, Outdoor ",0.9868,0.0132,male
94,Alonso,Al,2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,"Women's Track, Indoor ",0.9868,0.0132,male
95,Alonso,Al,2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,Men's Cross Country ,0.9868,0.0132,male
96,Alonso,Al,2018-2019,Oct 2003 -  ,New Jersey Institute of Technology ,Women's Cross Country ,0.9868,0.0132,male
97,Altman,Dana,2018-2019,Oct 2011 -  ,University of Oregon ,Men's Basketball ,0.2019,0.7981,female
98,Alvey,Molly,2018-2019,Mar 2012 -  ,University of Cincinnati ,Women's Volleyball ,0.0023,0.9977,female
99,Alvine,Al,2018-2019,Feb 2012 -  ,Duquesne University ,Women's Soccer ,0.9868,0.0132,male
100,Amaker,Tommy,2018-2019,May 2007 -  ,Harvard University ,Men's Basketball ,0.9862,0.0138,male
101,Amato,Tony,2018-2019,Feb 2013 -  ,University of Arizona ,Women's Soccer ,0.9884,0.0116,male
102,Ambrose,Darren,2018-2019,Mar 2015 -  ,Vanderbilt University ,Women's Soccer ,0.994,0.006,male
103,Ambrose,Rob,2018-2019,Jan 2009 -  ,Towson University ,Football ,1,0,male
104,Amicone,Mary Kay,2018-2019,Jul 2013 -  ,Weber State University ,Softball ,NA,NA,female
105,Amonte-Hiller,Kelly,2018-2019,Oct 2000 -  ,Northwestern University ,Women's Lacrosse ,0.1362,0.8638,female
106,Amores,Andres,2018-2019,Aug 2015 -  ,Jacksonville State University ,Women's Tennis ,0.9936,0.0064,male
107,Amores,Andres,2018-2019,Aug 2015 -  ,Jacksonville State University ,Men's Tennis ,0.9936,0.0064,male
108,Amos,Jake,2018-2019,Jul 2019 -  ,East Tennessee State University ,Men's Golf ,0.9979,0.0021,male
109,Amplo,Joe,2018-2019,Jul 2019 -  ,U.S. Naval Academy ,Men's Lacrosse ,0.9745,0.0255,male
110,Amplo,Joe,2018-2019,Mar 2011 - Jul 2019 ,Marquette University ,Men's Lacrosse ,0.9745,0.0255,male
111,Amundson,Kara,2018-2019,Jul 2012 -  ,Murray State University ,Softball ,0.0027,0.9973,female
112,Amundson,Lauren,2018-2019,Jun 2015 - Jun 2019 ,Marist College ,Women's Volleyball ,0.0093,0.9907,female
113,Anagnost,Tom,2018-2019,Apr 2017 - Feb 2019 ,Mississippi State University ,Women's Soccer ,0.9969,0.0031,male
114,Anagnost,Tom,2018-2019,Feb 2019 - Mar 2021 ,University of Illinois Chicago ,Women's Soccer ,0.9969,0.0031,male
115,Anastopoulo,Angelo,2018-2019,Oct 1991 -  ,College of Charleston (South Carolina) ,Women's Tennis ,0.986,0.014,male
116,Anatol,Ryan,2018-2019,Apr 2011 -  ,Stony Brook University ,Men's Soccer ,0.9768,0.0232,male
117,Andersen,Gary,2018-2019,Mar 2019 - Dec 2020 ,Utah State University ,Football ,0.9962,0.0038,male
118,Anderson ,Kalen,2018-2019,Mar 2008 -  ,"University of South Carolina, Columbia ",Women's Golf ,0.7184,0.2816,male
119,Anderson,Avery,2018-2019,Aug 2017 -  ,"University of California, Los Angeles ","Women's Track, Indoor ",0.3431,0.6569,female
120,Anderson,Avery,2018-2019,Aug 2017 -  ,"University of California, Los Angeles ","Men's Track, Outdoor ",0.3431,0.6569,female
121,Anderson,Avery,2018-2019,Aug 2017 -  ,"University of California, Los Angeles ",Men's Cross Country ,0.3431,0.6569,female
122,Anderson,Avery,2018-2019,Aug 2017 -  ,"University of California, Los Angeles ","Women's Track, Outdoor ",0.3431,0.6569,female
123,Anderson,Avery,2018-2019,Aug 2017 -  ,"University of California, Los Angeles ","Men's Track, Indoor ",0.3431,0.6569,female
124,Anderson,Avery,2018-2019,Aug 2017 -  ,"University of California, Los Angeles ",Women's Cross Country ,0.3431,0.6569,female
125,Anderson,Blake,2018-2019,Jan 2014 - Apr 2021 ,Arkansas State University ,Football ,0.9642,0.0358,male
126,Anderson,Darryl,2018-2019,Jan 2005 -  ,Texas Christian University ,"Women's Track, Indoor ",0.9869,0.0131,male
127,Anderson,Darryl,2018-2019,Jan 2005 -  ,Texas Christian University ,Men's Cross Country ,0.9869,0.0131,male
128,Anderson,Darryl,2018-2019,Jan 2005 -  ,Texas Christian University ,"Men's Track, Indoor ",0.9869,0.0131,male
129,Anderson,Darryl,2018-2019,Jan 2005 -  ,Texas Christian University ,"Women's Track, Outdoor ",0.9869,0.0131,male
130,Anderson,Darryl,2018-2019,Jan 2005 -  ,Texas Christian University ,Women's Cross Country ,0.9869,0.0131,male
131,Anderson,Darryl,2018-2019,Jan 2005 -  ,Texas Christian University ,"Men's Track, Outdoor ",0.9869,0.0131,male
132,Anderson,Elizabeth,2018-2019,Aug 2004 -  ,Elon University ,Women's Tennis ,0.0031,0.9969,female
133,Anderson,James,2018-2019,Jul 2012 -  ,University of Arizona ,Men's Golf ,0.9956,0.0044,male
134,Anderson,Jason,2018-2019,Aug 2015 -  ,Eastern Illinois University ,Baseball ,0.9948,0.0052,male
135,Anderson,John R.,2018-2019,Aug 1982 -  ,"University of Minnesota, Twin Cities ",Baseball ,NA,NA,male
136,Anderson,Kelly,2018-2019,Jun 2018 - Sep 2020 ,University of Delaware ,Women's Tennis ,0.1362,0.8638,female
137,Anderson,Kevin,2018-2019,Sep 2009 -  ,Columbia University-Barnard College ,Men's Soccer ,0.9951,0.0049,male
138,Anderson,Larissa,2018-2019,Jul 2018 -  ,"University of Missouri, Columbia ",Softball ,0,1,female
139,Anderson,Mark,2018-2019,Sep 2008 -  ,University of Pennsylvania ,Women's Golf ,0.9967,0.0033,male
140,Anderson,Mike,2018-2019,May 2011 - May 2019 ,"University of Arkansas, Fayetteville ",Men's Basketball ,0.9966,0.0034,male
141,Anderson,Mike,2018-2019,May 2019 -  ,St. John's University (New York) ,Men's Basketball ,0.9966,0.0034,male
142,Andersson,Jonas,2018-2019,Jun 2017 -  ,University of the Incarnate Word ,Men's Tennis ,0.9984,0.0016,male
143,Andrassy,Jim,2018-2019,Nov 2003 -  ,Kent State University ,Men's Wrestling ,0.9966,0.0034,male
144,Andrulis,Greg,2018-2019,Sep 2005 - Feb 2020 ,George Mason University ,Men's Soccer ,0.998,0.002,male
145,Angel ,Wendell,2018-2019,Aug 2019 -  ,University of Northern Colorado ,"Men's Track, Indoor ",0.988,0.012,male
146,Angel ,Wendell,2018-2019,Aug 2019 -  ,University of Northern Colorado ,"Women's Track, Outdoor ",0.988,0.012,male
147,Angel ,Wendell,2018-2019,Aug 2019 -  ,University of Northern Colorado ,"Men's Track, Outdoor ",0.988,0.012,male
148,Angel ,Wendell,2018-2019,Aug 2019 -  ,University of Northern Colorado ,Men's Cross Country ,0.988,0.012,male
149,Angel ,Wendell,2018-2019,Aug 2019 -  ,University of Northern Colorado ,Women's Cross Country ,0.988,0.012,male
150,Angel ,Wendell,2018-2019,Aug 2019 -  ,University of Northern Colorado ,"Women's Track, Indoor ",0.988,0.012,male
151,Angel,Wayne,2018-2019,Aug 2014 - Sep 2019 ,Tennessee Technological University ,Women's Cross Country ,0.9959,0.0041,male
152,Angel,Wayne,2018-2019,Aug 2014 - Sep 2019 ,Tennessee Technological University ,"Women's Track, Outdoor ",0.9959,0.0041,male
153,Angel,Wayne,2018-2019,Aug 2014 - Sep 2019 ,Tennessee Technological University ,"Women's Track, Indoor ",0.9959,0.0041,male
154,Angel,Wayne,2018-2019,Aug 2014 - Sep 2019 ,Tennessee Technological University ,Men's Cross Country ,0.9959,0.0041,male
155,Anger,Matt,2018-2019,Aug 1992 -  ,University of Washington ,Men's Tennis ,0.9997,0.0003,male
156,Anghelescu,Alexandra,2018-2019,Aug 2019 -  ,Pennsylvania State University ,Women's Tennis ,0.0037,0.9963,female
157,Angus,Niall,2018-2019,Sep 2016 -  ,Santa Clara University ,Men's Tennis ,1,0,male
158,Anthony,"Jr., Donald",2018-2019,Jul 2018 -  ,The Ohio State University ,Men's Fencing ,NA,NA,male
159,Anthony,"Jr., Donald",2018-2019,Jul 2018 -  ,The Ohio State University ,Women's Fencing ,NA,NA,male
160,Anthony-Ryan,Terri,2018-2019,Apr 2005 - Sep 2018 ,University of Detroit Mercy ,Women's Golf ,0.0059,0.9941,female
161,Anti,Michael,2018-2019,Aug 2017 -  ,U.S. Naval Academy ,Mixed Rifle ,0.9947,0.0053,male
162,Antoine,Zenarae,2018-2019,May 2011 -  ,Texas State University ,Women's Basketball ,NA,NA,female
163,Antun,Mauricio,2018-2019,Nov 2018 -  ,Belmont University ,Women's Tennis ,0.9996,0.0004,male
164,Antun,Mauricio,2018-2019,Mar 2016 -  ,Belmont University ,Men's Tennis ,0.9996,0.0004,male
165,Aoki,Mik,2018-2019,Aug 2010 - Aug 2019 ,University of Notre Dame ,Baseball ,NA,NA,male
166,Aoki,Mikio,2018-2019,Aug 2019 -  ,Morehead State University ,Baseball ,1,0,male
167,Appleman,Erin,2018-2019,Aug 2003 -  ,Yale University ,Women's Volleyball ,0.0267,0.9733,female
168,Applewhite,Major,2018-2019,Jan 2017 - Feb 2019 ,University of Houston ,Football ,0.9984,0.0016,male
169,Applin,Fred,2018-2019,Jun 2012 -  ,Charleston Southern University ,Women's Basketball ,0.9952,0.0048,male
170,Aprile,Holly,2018-2019,Aug 2018 -  ,University of Louisville ,Softball ,0.0052,0.9948,female
171,Arce,Marisa,2018-2019,Jul 2015 - Sep 2019 ,Indiana University-Purdue University Indianapolis ,Women's Tennis ,0.0013,0.9987,female
172,Archer,David,2018-2019,Feb 2013 -  ,Cornell University ,Football ,0.9963,0.0037,male
173,Ardizzone,Mark,2018-2019,Feb 1997 - Jul 2019 ,DePaul University ,Women's Tennis ,0.9967,0.0033,male
174,Arlinghaus,Brian,2018-2019,Aug 2017 -  ,Wright State University ,Men's Golf ,0.9958,0.0042,male
175,Armstrong,James,2018-2019,Feb 2019 -  ,Mississippi State University ,Women's Soccer ,0.9956,0.0044,male
176,Arroyo,Gavin,2018-2019,Mar 2006 -  ,Long Beach State University ,Men's Water Polo ,0.9975,0.0025,male
177,Arroyo,Gavin,2018-2019,Aug 2008 - Jul 2020 ,Long Beach State University ,Women's Water Polo ,0.9975,0.0025,male
178,Arth,Tom,2018-2019,Feb 2019 -  ,University of Akron ,Football ,0.9969,0.0031,male
179,Arth,Tom,2018-2019,Mar 2017 - Feb 2019 ,University of Tennessee at Chattanooga ,Football ,0.9969,0.0031,male
180,Asalon,Todd,2018-2019,Sep 2001 -  ,Northern Kentucky University ,Baseball ,0.996,0.004,male
181,Ascher,Steve,2018-2019,Aug 2008 -  ,University of Montana ,Women's Tennis ,0.9961,0.0039,male
182,Ash,Chris,2018-2019,Jan 2016 - Oct 2019 ,"Rutgers, The State University of New Jersey, New Brunswick ",Football ,0.8507,0.1493,male
183,Ashburn,Ryan,2018-2019,Aug 2018 -  ,University of Alabama at Birmingham ,Women's Golf ,0.9768,0.0232,male
184,Ashworth,Jamie,2018-2019,Aug 1997 -  ,Duke University ,Women's Tennis ,0.2295,0.7705,female
185,Askew,Nicholas,2018-2019,Jul 2014 -  ,Howard University ,Men's Swimming and Diving ,0.9963,0.0037,male
186,Askew,Nicholas,2018-2019,Jul 2014 -  ,Howard University ,Women's Swimming and Diving ,0.9963,0.0037,male
187,Aston,Karen,2018-2019,May 2012 - May 2020 ,University of Texas at Austin ,Women's Basketball ,0.0026,0.9974,female
188,Atherley,Scott,2018-2019,Aug 2003 -  ,University of Maine ,Women's Soccer ,0.9964,0.0036,male
189,Atkins,Dallen,2018-2019,Sep 2017 -  ,Idaho State University ,Women's Golf ,1,0,male
190,Atkinson,Brooke,2018-2019,May 2017 -  ,New Mexico State University ,Women's Basketball ,0.01,0.99,female
191,Atkinson,Bruce,2018-2019,Mar 2019 -  ,Delaware State University ,Women's Volleyball ,0.9965,0.0035,male
192,Atkinson,Jon,2018-2019,Mar 2005 -  ,Longwood University ,Men's Soccer ,0.9921,0.0079,male
193,Atoa,Sam,2018-2019,Aug 2004 -  ,Utah Valley University ,Women's Volleyball ,0.9872,0.0128,male
194,Aufrichtig,Michael,2018-2019,Aug 2011 -  ,Columbia University-Barnard College ,Women's Fencing ,0.9947,0.0053,male
195,Aufrichtig,Michael,2018-2019,Aug 2011 -  ,Columbia University-Barnard College ,Men's Fencing ,0.9947,0.0053,male
196,Augustus,Amanda,2018-2019,Aug 2007 -  ,"University of California, Berkeley ",Women's Tennis ,0.0026,0.9974,female
197,Auriemma,Geno,2018-2019,Jun 1985 -  ,University of Connecticut ,Women's Basketball ,1,0,male
198,Ausanio,Joe,2018-2019,Sep 2008 -  ,Marist College ,Softball ,0.9745,0.0255,male
199,Avent,Elliott,2018-2019,Sep 1996 -  ,North Carolina State University ,Baseball ,0.9441,0.0559,male
200,Averill,Jennifer D,2018-2019,Jul 1992 -  ,Wake Forest University ,Field Hockey ,NA,NA,female
201,Avery,Carin,2018-2019,Aug 2003 -  ,Valparaiso University ,Women's Volleyball ,0,1,female
202,Avery,Mike,2018-2019,Feb 2007 -  ,Valparaiso University ,Men's Soccer ,0.9966,0.0034,male
203,Ayers,Erica,2018-2019,Sep 2017 -  ,Jacksonville University ,Softball ,0.0042,0.9958,female
204,Ayres,Chris,2018-2019,Aug 2006 -  ,Princeton University ,Men's Wrestling ,0.8507,0.1493,male
205,Azcui,Ramiro,2018-2019,Feb 2017 -  ,"Indiana University, Bloomington ",Women's Tennis ,0.9987,0.0013,male
206,Azem,Samar,2018-2019,Sep 2017 -  ,Campbell University ,Women's Soccer ,0.3366,0.6634,female
207,Azevedo,Matt,2018-2019,May 2011 -  ,Drexel University ,Men's Wrestling ,0.9997,0.0003,male
208,Baarts,Rob,2018-2019,Feb 2018 -  ,New Mexico State University ,Women's Soccer ,1,0,male
209,Baber,Bill,2018-2019,Oct 2010 -  ,California Baptist University ,Softball ,0.9971,0.0029,male
210,Babers,Dino,2018-2019,Jan 2016 -  ,Syracuse University ,Football ,1,0,male
211,Babineau,Josette,2018-2019,Mar 2007 -  ,University of Maine ,Field Hockey ,0,1,female
212,Babst,Mike,2018-2019,Feb 2019 -  ,Davidson College ,Men's Soccer ,0.9966,0.0034,male
213,Badeaux,Lon,2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,"Women's Track, Outdoor ",0.9979,0.0021,male
214,Badeaux,Lon,2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,Women's Cross Country ,0.9979,0.0021,male
215,Badeaux,Lon,2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,Men's Cross Country ,0.9979,0.0021,male
216,Badeaux,Lon,2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,"Women's Track, Indoor ",0.9979,0.0021,male
217,Badeaux,Lon,2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,"Men's Track, Outdoor ",0.9979,0.0021,male
218,Badeaux,Lon,2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,"Men's Track, Indoor ",0.9979,0.0021,male
219,Baggett,Kevin,2018-2019,Jun 2012 -  ,Rider University ,Men's Basketball ,0.9951,0.0049,male
220,Bagley,Chad,2018-2019,Jul 2017 -  ,U.S. Military Academy ,Men's Golf ,0.9954,0.0046,male
221,Bagnoli,Al,2018-2019,Mar 2015 -  ,Columbia University-Barnard College ,Football ,0.9868,0.0132,male
222,Bailey,Steve,2018-2019,Sep 2010 -  ,Marquette University ,Men's Golf ,0.9961,0.0039,male
223,Bailey-Duvall,Tayo,2018-2019,Aug 2012 - Sep 2018 ,Butler University ,Women's Tennis ,1,0,male
224,Bailey-Duvall,Tayo,2018-2019,Sep 2018 -  ,Middle Tennessee State University ,Women's Tennis ,1,0,male
225,Baine,Britney,2018-2019,Aug 2019 -  ,Norfolk State University ,Men's Tennis ,0.0023,0.9977,female
226,Baine,Britney,2018-2019,Aug 2019 -  ,Norfolk State University ,Women's Tennis ,0.0023,0.9977,female
227,Baine,Britney,2018-2019,Aug 2019 - Aug 2020 ,Norfolk State University ,Men's Tennis ,0.0023,0.9977,female
228,Baine,Britney,2018-2019,Aug 2019 - Aug 2020 ,Norfolk State University ,Women's Tennis ,0.0023,0.9977,female
229,Baise,Brian,2018-2019,Aug 2008 -  ,Harvard University ,Men's Volleyball ,0.9958,0.0042,male
230,Baker,Brian,2018-2019,Aug 2003 -  ,Gardner-Webb University ,Women's Cross Country ,0.9958,0.0042,male
231,Baker,Brian,2018-2019,Aug 2003 -  ,Gardner-Webb University ,"Men's Track, Indoor ",0.9958,0.0042,male
